// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	    410000	      5197	      4668
       100	    410000	      6207	      4656
      1000	    410000	      7099	      4482
     10000	    410000	      5534	      5223
    100000	    410000	      9779	      4810
        10	    420000	      7192	      4556
       100	    420000	      4558	      4849
      1000	    420000	      4885	      4813
     10000	    420000	      5095	      4441
    100000	    420000	      9642	      6073
        10	    430000	      7255	      5393
       100	    430000	      5375	      4872
      1000	    430000	      5300	      4563
     10000	    430000	      5489	      5110
    100000	    430000	     11267	      7045
        10	    440000	      5670	      4980
       100	    440000	      5062	      4745
      1000	    440000	      5675	      6171
     10000	    440000	      5590	      5218
    100000	    440000	      9976	      4987
        10	    450000	      5818	      5677
       100	    450000	      6678	      5421
      1000	    450000	      5459	      5299
     10000	    450000	      6111	      5430
    100000	    450000	     11470	      5680
        10	    460000	      6267	      4917
       100	    460000	      5245	      4942
      1000	    460000	      4964	      5213
     10000	    460000	      5609	      4998
    100000	    460000	     10593	      5168
        10	    470000	      5783	      4924
       100	    470000	      5558	      5037
      1000	    470000	      5491	      5184
     10000	    470000	      5667	      4920
    100000	    470000	     10796	      5326
        10	    480000	      5640	      5266
       100	    480000	      5210	      5475
      1000	    480000	      5236	      5357
     10000	    480000	      5919	      4987
    100000	    480000	     10997	      5492
        10	    490000	      5703	      5792
       100	    490000	      6036	      5423
      1000	    490000	      6694	      5335
     10000	    490000	      6719	      5103
    100000	    490000	     12092	      5560
        10	    500000	      7912	      5338
       100	    500000	      7115	      5339
      1000	    500000	      6555	      5572
     10000	    500000	      7015	      5580
    100000	    500000	     13052	      5852
        10	    510000	      6817	      5469
       100	    510000	      6211	      5434
      1000	    510000	      5910	      5787
     10000	    510000	      6101	      5305
    100000	    510000	     11754	      7699
        10	    520000	      7045	      6129
       100	    520000	      5776	      6505
      1000	    520000	      5781	      6120
     10000	    520000	      6420	      5849
    100000	    520000	     14417	      6501
        10	    530000	      7249	      5958
       100	    530000	      5855	      6102
      1000	    530000	      5847	      6186
     10000	    530000	      6672	      5450
    100000	    530000	     12145	      5873
        10	    540000	      9442	      6670
       100	    540000	      6685	      6777
      1000	    540000	      8293	      5831
     10000	    540000	      6863	      5583
    100000	    540000	     15363	      6850
        10	    550000	      8106	      5979
       100	    550000	      6359	      5924
      1000	    550000	      6051	      6381
     10000	    550000	      7777	      7512
    100000	    550000	     25869	      7102
        10	    560000	      6670	      6068
       100	    560000	      6363	      6014
      1000	    560000	      6430	      5970
     10000	    560000	      7471	      7931
    100000	    560000	     16924	      6185
        10	    570000	      6971	      6443
       100	    570000	      6179	      6184
      1000	    570000	      6387	      6566
     10000	    570000	      6892	      6189
    100000	    570000	     13940	      7471
        10	    580000	      7436	     10203
       100	    580000	      6365	      9350
      1000	    580000	      6359	      7023
     10000	    580000	     12347	      6832
    100000	    580000	     21249	      7168
        10	    590000	      9041	      8508
       100	    590000	      7073	      8627
      1000	    590000	      6522	      9055
     10000	    590000	      7645	      9252
    100000	    590000	     14108	      6821
        10	    600000	      6961	      7103
       100	    600000	      6954	      6731
      1000	    600000	      6967	      6418
     10000	    600000	      7787	      6385
    100000	    600000	     14929	      8065
        10	    610000	      7419	      7267
       100	    610000	      7217	      7037
      1000	    610000	      7073	      6840
     10000	    610000	      7336	      6287
    100000	    610000	     16556	      6347
        10	    620000	      6766	     13260
       100	    620000	      6848	     10824
      1000	    620000	     11369	      7125
     10000	    620000	     12973	      6999
    100000	    620000	     26081	      7155
        10	    630000	      7788	      7357
       100	    630000	      7443	      7662
      1000	    630000	      7385	      6815
     10000	    630000	      8346	      6631
    100000	    630000	     16734	      8672
        10	    640000	      7516	      7101
       100	    640000	      8665	      9170
      1000	    640000	      8801	     10346
     10000	    640000	      9019	     12738
    100000	    640000	     16668	     10031
        10	    650000	      7654	      8671
       100	    650000	      7582	      9804
      1000	    650000	      8527	      9861
     10000	    650000	     15622	      6901
    100000	    650000	     20489	      9657
        10	    660000	      8168	      8714
       100	    660000	      8309	      7587
      1000	    660000	      7743	      8051
     10000	    660000	     10394	      9023
    100000	    660000	     18220	      8731
        10	    670000	      7389	      7434
       100	    670000	      7415	      8116
      1000	    670000	      7501	     10057
     10000	    670000	      8134	     10063
    100000	    670000	     20545	      6816
        10	    680000	      8460	      9061
       100	    680000	      8779	      9652
      1000	    680000	      7953	      8100
     10000	    680000	      8197	      7525
    100000	    680000	     17600	      8671
        10	    690000	      8120	      8539
       100	    690000	      7767	      7624
      1000	    690000	      8549	      7973
     10000	    690000	      8912	      7068
    100000	    690000	     16481	      8792
        10	    700000	      7805	      7881
       100	    700000	      7558	      8269
      1000	    700000	      9163	     10605
     10000	    700000	      8724	      9988
    100000	    700000	     15965	      7460
        10	    710000	      7723	      8542
       100	    710000	      7790	      8246
      1000	    710000	      9995	      8764
     10000	    710000	      9917	      8352
    100000	    710000	     16748	     12636
        10	    720000	      7671	      7989
       100	    720000	      7956	      8336
      1000	    720000	      8001	      8242
     10000	    720000	     10786	      8126
    100000	    720000	     25084	      7574
        10	    730000	      8254	      8714
       100	    730000	      9446	      9762
      1000	    730000	      8920	      8417
     10000	    730000	     10120	      8000
    100000	    730000	     20684	      9454
        10	    740000	      9413	      7819
